ticker,price_ticker,sec_ticker,cik,sector,industry,name,notes,source_url
CA,CA,CA,0000356028,,,CA Technologies,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000356028&owner=exclude
CAM,CAM,CAM,0000941548,,,Cameron International,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000941548&owner=exclude
CBE,CBE,CBE,0001141982,,,Cooper Industries,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001141982&owner=exclude
CCE,CCE,CCE,0001491675,,,Coca-Cola Enterprises,"Post-2010 Coca-Cola Enterprises issuer; selected 2011-2015 CCE CIK, not old pre-2010 CIK 0000804055.",https://www.sec.gov/edgar/browse/?CIK=0001491675&owner=exclude
CELG,CELG,CELG,0000816284,,,Celgene,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000816284&owner=exclude
CERN,CERN,CERN,0000804753,,,Cerner,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000804753&owner=exclude
CFN,CFN,CFN,0001457543,,,Carefusion,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001457543&owner=exclude
CHK,CHK,CHK,0000895126,,,Chesapeake Energy,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000895126&owner=exclude
CMA,CMA,CMA,0000028412,,,Comerica,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000028412&owner=exclude
COL,COL,COL,0001137411,,,Rockwell Collins,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001137411&owner=exclude
COV,COV,COV,0001385187,,,Covidien,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001385187&owner=exclude
CPGX,CPGX,CPGX,0001629995,,,Columbia Pipeline Group,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001629995&owner=exclude
CSC,CSC,CSC,0000023082,,,Computer Sciences Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000023082&owner=exclude
CSRA,CSRA,CSRA,0001646383,,,CSRA,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001646383&owner=exclude
CTLT,CTLT,CTLT,0001596783,,,Catalent,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001596783&owner=exclude
CTRA,CTRA,CTRA,0000858470,,,Coterra Energy,Same CIK as Cabot Oil & Gas/Coterra issuer.,https://www.sec.gov/edgar/browse/?CIK=0000858470&owner=exclude
CTXS,CTXS,CTXS,0000877890,,,Citrix Systems,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000877890&owner=exclude
CVC,CVC,CVC,0001053112,,,Cablevision Systems,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001053112&owner=exclude
CVH,CVH,CVH,0001054833,,,Coventry Health Care,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001054833&owner=exclude
CXO,CXO,CXO,0001358071,,,Concho Resources,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001358071&owner=exclude
DAY,DAY,DAY,0001725057,,,Dayforce,CIK corresponds to Dayforce/Ceridian HCM Holding Inc.; review source S&P years if pre-IPO history is required.,https://www.sec.gov/edgar/browse/?CIK=0001725057&owner=exclude
DF,DF,DF,0000931336,,,Dean Foods,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000931336&owner=exclude
DFS,DFS,DFS,0001393612,,,Discover Financial,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001393612&owner=exclude
DISCA,DISCA,DISCA,0001437107,,,"Discovery, Inc.",Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001437107&owner=exclude
DISCK,DISCK,DISCK,0001437107,,,"Discovery, Inc.",Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001437107&owner=exclude
DISH,DISH,DISH,0001001082,,,Dish Network,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001001082&owner=exclude
DNB,DNB,DNB,0001115222,,,Dun & Bradstreet,Historical Dun & Bradstreet Corp/NW CIK; current DNB ticker maps to a different post-2019 issuer.,https://www.sec.gov/edgar/browse/?CIK=0001115222&owner=exclude
DNR,DNR,DNR,0000945764,,,Denbury Resources,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000945764&owner=exclude
DO,DO,DO,0000949039,,,Diamond Offshore Drilling,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000949039&owner=exclude
DPS,DPS,DPS,0001418135,,,Dr Pepper Snapple Group,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001418135&owner=exclude
DRE,DRE,DRE,0000783280,,,Duke Realty,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000783280&owner=exclude
DTV,DTV,DTV,0001465112,,,DirecTV,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001465112&owner=exclude
DV,DV,DV,0000730464,,,DeVry,Historical issuer: selected DeVry/Adtalem CIK for 2011 ticker DV.,https://www.sec.gov/edgar/browse/?CIK=0000730464&owner=exclude
DWDP,DWDP,DWDP,0001666700,,,DuPont,DWDP issuer later renamed/split; selected DowDuPont/DuPont de Nemours CIK 0001666700.,https://www.sec.gov/edgar/browse/?CIK=0001666700&owner=exclude
EMC,EMC,EMC,0000790070,,,EMC Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000790070&owner=exclude
ENDP,ENDP,ENDP,0001593034,,,Endo International,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001593034&owner=exclude
EP,EP,EP,0001066107,,,El Paso Corporation,"Historical ticker reuse: selected El Paso Corp CIK, not current Empire Petroleum.",https://www.sec.gov/edgar/browse/?CIK=0001066107&owner=exclude
ESRX,ESRX,ESRX,0001532063,,,Express Scripts,Issuer transition: 2011 Express Scripts Inc. was CIK 0000885721; filled 0001532063 for Express Scripts Holding Co. covering 2012-2017.,https://www.sec.gov/edgar/browse/?CIK=0001532063&owner=exclude
ESV,ESV,ESV,0000314808,,,Ensco,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000314808&owner=exclude
ETFC,ETFC,ETFC,0001015780,,,E-Trade,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001015780&owner=exclude
EVHC,EVHC,EVHC,0001678531,,,Envision Healthcare,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001678531&owner=exclude
FBHS,FBHS,FBHS,0001519751,,,Fortune Brands Home & Security,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001519751&owner=exclude
FDO,FDO,FDO,0000034408,,,Family Dollar,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000034408&owner=exclude
FII,FII,FII,0001056288,,,Federated Investors,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001056288&owner=exclude
FL,FL,FL,0000850209,,,Foot Locker,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000850209&owner=exclude
FLIR,FLIR,FLIR,0000354908,,,FLIR Systems,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000354908&owner=exclude
FRC,FRC,FRC,0001132979,,,First Republic Bank,Selected First Republic Bank CIK; later trading/OTC ticker may differ after 2023 resolution.,https://www.sec.gov/edgar/browse/?CIK=0001132979&owner=exclude
FRX,FRX,FRX,0000038074,,,Forest Laboratories,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000038074&owner=exclude
FTR,FTR,FTR,0000020520,,,Frontier Communications,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000020520&owner=exclude
GAS,GAS,GAS,0001004155,,,AGL Resources,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001004155&owner=exclude
GGP,GGP,GGP,0001496048,,,GGP,Selected post-bankruptcy GGP Inc. CIK for 2013-2017.,https://www.sec.gov/edgar/browse/?CIK=0001496048&owner=exclude
GMCR,GMCR,GMCR,0000909954,,,Keurig Green Mountain,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000909954&owner=exclude
GPS,GPS,GPS,0000039911,,,Gap,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000039911&owner=exclude
GR,GR,GR,0000042542,,,Goodrich Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000042542&owner=exclude
HAR,HAR,HAR,0000800459,,,Harman International,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000800459&owner=exclude
HBI,HBI,HBI,0001359841,,,Hanesbrands,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001359841&owner=exclude
HCBK,HCBK,HCBK,0000921847,,,Hudson City Bancorp,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000921847&owner=exclude
HES,HES,HES,0000004447,,,Hess Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000004447&owner=exclude
HFC,HFC,HFC,0000048039,,,HollyFrontier,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000048039&owner=exclude
HNZ,HNZ,HNZ,0000046640,,,Heinz,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000046640&owner=exclude
HOLX,HOLX,HOLX,0000859737,,,Hologic,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000859737&owner=exclude
HOT,HOT,HOT,0000316206,,,Starwood,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000316206&owner=exclude
HSP,HSP,HSP,0001274057,,,Hospira,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001274057&owner=exclude
IGT,IGT,IGT,0000353944,,,International Game Technology,"Historical ticker reuse/issuer change: selected legacy International Game Technology CIK, not current IGT PLC.",https://www.sec.gov/edgar/browse/?CIK=0000353944&owner=exclude
INFO,INFO,INFO,0001598014,,,IHS Markit,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001598014&owner=exclude
IPG,IPG,IPG,0000051644,,,Interpublic Group,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000051644&owner=exclude
JCP,JCP,JCP,0001166126,,,JCPenney,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001166126&owner=exclude
JDSU,JDSU,JDSU,0000912093,,,JDS Uniphase,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000912093&owner=exclude
JNPR,JNPR,JNPR,0001043604,,,Juniper Networks,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001043604&owner=exclude
JOY,JOY,JOY,0000801898,,,Joy Global,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000801898&owner=exclude
JWN,JWN,JWN,0000072333,,,Nordstrom,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000072333&owner=exclude
K,K,K,0000055067,,,Kellanova,Same CIK as Kellogg Company/Kellanova issuer.,https://www.sec.gov/edgar/browse/?CIK=0000055067&owner=exclude
KFT,KFT,KFT,0001103982,,,Kraft Foods,Pre-2012 Kraft Foods Inc./Mondelez CIK; KRFT row separately uses Kraft Foods Group CIK.,https://www.sec.gov/edgar/browse/?CIK=0001103982&owner=exclude
KRFT,KRFT,KRFT,0001545158,,,Kraft Foods,Post-2012 Kraft Foods Group CIK; KFT row separately uses pre-split Kraft Foods Inc./Mondelez CIK.,https://www.sec.gov/edgar/browse/?CIK=0001545158&owner=exclude
KSU,KSU,KSU,0000054480,,,Kansas City Southern,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000054480&owner=exclude
LLL,LLL,LLL,0001039101,,,L3 Technologies,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001039101&owner=exclude
LLTC,LLTC,LLTC,0000791907,,,Linear Technology,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000791907&owner=exclude
LM,LM,LM,0000704051,,,Legg Mason,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000704051&owner=exclude
LO,LO,LO,0001424847,,,Lorillard Tobacco Company,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001424847&owner=exclude
LSI,LSI,LSI,0000703360,,,LSI Corporation,"Historical ticker reuse: selected LSI Corp/LSI Logic historical CIK, not Life Storage.",https://www.sec.gov/edgar/browse/?CIK=0000703360&owner=exclude
LVLT,LVLT,LVLT,0000794323,,,Level 3 Communications,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000794323&owner=exclude
LXK,LXK,LXK,0001001288,,,Lexmark,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001001288&owner=exclude
MHS,MHS,MHS,0001170650,,,Medco Health Solutions,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001170650&owner=exclude
MJN,MJN,MJN,0001452575,,,Mead Johnson,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001452575&owner=exclude
MMI,MMI,MMI,0001495569,,,Motorola Mobility,"Historical ticker reuse: selected Motorola Mobility Holdings CIK, not Marcus & Millichap.",https://www.sec.gov/edgar/browse/?CIK=0001495569&owner=exclude
MNK,MNK,MNK,0001567892,,,Mallinckrodt,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001567892&owner=exclude
MOLX,MOLX,MOLX,0000067472,,,Molex,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000067472&owner=exclude
MON,MON,MON,0001110783,,,Monsanto,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001110783&owner=exclude
MRO,MRO,MRO,0000101778,,,Marathon Oil,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000101778&owner=exclude
MXIM,MXIM,MXIM,0000743316,,,Maxim Integrated,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000743316&owner=exclude
NBL,NBL,NBL,0000072207,,,Noble Energy,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000072207&owner=exclude
NFX,NFX,NFX,0000912750,,,Newfield Exploration,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000912750&owner=exclude
NLSN,NLSN,NLSN,0001492633,,,Nielsen Holdings,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001492633&owner=exclude
NVLS,NVLS,NVLS,0000836106,,,Novellus Systems,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000836106&owner=exclude
NYX,NYX,NYX,0001368007,,,NYSE Euronext,Historical ticker reuse/current mapping issue: selected NYSE Euronext historical CIK.,https://www.sec.gov/edgar/browse/?CIK=0001368007&owner=exclude
PBCT,PBCT,PBCT,0001378946,,,People's United Financial,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001378946&owner=exclude
PCL,PCL,PCL,0000849213,,,Plum Creek Timber,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000849213&owner=exclude
PCP,PCP,PCP,0000079958,,,Precision Castparts Corporation,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000079958&owner=exclude
PCS,PCS,PCS,0001283699,,,MetroPCS,Corrected to MetroPCS Communications/T-Mobile US CIK with SEC companyfacts available; use 2011-2012 period only for PCS S&P500 years.,https://www.sec.gov/edgar/browse/?CIK=0001283699&owner=exclude
PDCO,PDCO,PDCO,0000891024,,,Patterson Companies,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000891024&owner=exclude
PETM,PETM,PETM,0000863157,,,PetSmart,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0000863157&owner=exclude
PGN,PGN,PGN,0001094093,,,Progress Energy,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001094093&owner=exclude
PLL,PLL,PLL,0000075829,,,Pall Corporation,"Historical ticker reuse: selected Pall Corp CIK, not Piedmont Lithium.",https://www.sec.gov/edgar/browse/?CIK=0000075829&owner=exclude
PXD,PXD,PXD,0001038357,,,Pioneer Natural Resources,Verified by issuer name/ticker against SEC EDGAR and SEC-derived mappings; source_url links to SEC EDGAR entity page.,https://www.sec.gov/edgar/browse/?CIK=0001038357&owner=exclude
