ticker,cik,price_ticker,sec_ticker,sector,industry,name,notes
DNR,,DNR,DNR,,,Denbury Resources,
DO,,DO,DO,,,Diamond Offshore Drilling,
DPS,,DPS,DPS,,,Dr Pepper Snapple Group,
DRE,,DRE,DRE,,,Duke Realty,
DTV,,DTV,DTV,,,DirecTV,
DV,,DV,DV,,,DeVry,
DWDP,,DWDP,DWDP,,,DuPont,
EMC,,EMC,EMC,,,EMC Corporation,
ENDP,,ENDP,ENDP,,,Endo International,
EP,,EP,EP,,,El Paso Corporation,
ESRX,,ESRX,ESRX,,,Express Scripts,
ESV,,ESV,ESV,,,Ensco,
ETFC,,ETFC,ETFC,,,E-Trade,
EVHC,,EVHC,EVHC,,,Envision Healthcare,
FBHS,,FBHS,FBHS,,,Fortune Brands Home & Security,
FDO,,FDO,FDO,,,Family Dollar,
FII,,FII,FII,,,Federated Investors,
FL,,FL,FL,,,Foot Locker,
FLIR,,FLIR,FLIR,,,FLIR Systems,
FRC,,FRC,FRC,,,First Republic Bank,
FRX,,FRX,FRX,,,Forest Laboratories,
FTR,,FTR,FTR,,,Frontier Communications,
GAS,,GAS,GAS,,,AGL Resources,
GGP,,GGP,GGP,,,GGP,
GMCR,,GMCR,GMCR,,,Keurig Green Mountain,
GPS,,GPS,GPS,,,Gap,
GR,,GR,GR,,,Goodrich Corporation,
HAR,,HAR,HAR,,,Harman International,
HBI,,HBI,HBI,,,Hanesbrands,
HCBK,,HCBK,HCBK,,,Hudson City Bancorp,
HES,,HES,HES,,,Hess Corporation,
HFC,,HFC,HFC,,,HollyFrontier,
HNZ,,HNZ,HNZ,,,Heinz,
HOLX,,HOLX,HOLX,,,Hologic,
HOT,,HOT,HOT,,,Starwood,
HSP,,HSP,HSP,,,Hospira,
IGT,,IGT,IGT,,,International Game Technology,
INFO,,INFO,INFO,,,IHS Markit,
IPG,,IPG,IPG,,,Interpublic Group,
JCP,,JCP,JCP,,,JCPenney,
JDSU,,JDSU,JDSU,,,JDS Uniphase,
JNPR,,JNPR,JNPR,,,Juniper Networks,
JOY,,JOY,JOY,,,Joy Global,
JWN,,JWN,JWN,,,Nordstrom,
K,,K,K,,,Kellanova,
KFT,,KFT,KFT,,,Kraft Foods,
KRFT,,KRFT,KRFT,,,Kraft Foods,
KSU,,KSU,KSU,,,Kansas City Southern,
LLL,,LLL,LLL,,,L3 Technologies,
LLTC,,LLTC,LLTC,,,Linear Technology,
LM,,LM,LM,,,Legg Mason,
LO,,LO,LO,,,Lorillard Tobacco Company,
LSI,,LSI,LSI,,,LSI Corporation,
LVLT,,LVLT,LVLT,,,Level 3 Communications,
LXK,,LXK,LXK,,,Lexmark,
MHS,,MHS,MHS,,,Medco Health Solutions,
MJN,,MJN,MJN,,,Mead Johnson,
MMI,,MMI,MMI,,,Motorola Mobility,
MNK,,MNK,MNK,,,Mallinckrodt,
MOLX,,MOLX,MOLX,,,Molex,
MON,,MON,MON,,,Monsanto,
MRO,,MRO,MRO,,,Marathon Oil,
MXIM,,MXIM,MXIM,,,Maxim Integrated,
NBL,,NBL,NBL,,,Noble Energy,
NFX,,NFX,NFX,,,Newfield Exploration,
NLSN,,NLSN,NLSN,,,Nielsen Holdings,
NVLS,,NVLS,NVLS,,,Novellus Systems,
NYX,,NYX,NYX,,,NYSE Euronext,
PBCT,,PBCT,PBCT,,,People's United Financial,
PCL,,PCL,PCL,,,Plum Creek Timber,
PCP,,PCP,PCP,,,Precision Castparts Corporation,
PCS,,PCS,PCS,,,MetroPCS,
PDCO,,PDCO,PDCO,,,Patterson Companies,
PETM,,PETM,PETM,,,PetSmart,
PGN,,PGN,PGN,,,Progress Energy,
PLL,,PLL,PLL,,,Pall Corporation,
PXD,,PXD,PXD,,,Pioneer Natural Resources,
QEP,,QEP,QEP,,,QEP Resources,
RAI,,RAI,RAI,,,Reynolds American,
RDC,,RDC,RDC,,,Rowan Companies,
RHT,,RHT,RHT,,,Red Hat,
RRD,,RRD,RRD,,,RR Donnelley,
RTN,,RTN,RTN,,,Raytheon Company,
SAI,,SAI,SAI,,,SAIC,
SBNY,,SBNY,SBNY,,,Signature Bank,
SCG,,SCG,SCG,,,SCANA,
SEE,,SEE,SEE,,,Sealed Air,
SHLD,,SHLD,SHLD,,,Sears Holdings,
SIAL,,SIAL,SIAL,,,Sigma-Aldrich,
SIVB,,SIVB,SIVB,,,SVB Financial Group,
SLE,,SLE,SLE,,,Sara Lee Corporation,
SNI,,SNI,SNI,,,Scripps Networks Interactive,
SPLS,,SPLS,SPLS,,,Staples,
SRCL,,SRCL,SRCL,,,Stericycle,
STJ,,STJ,STJ,,,St Jude Medical,
SUN,,SUN,SUN,,,Sunoco,
SVU,,SVU,SVU,,,Supervalu,
SWN,,SWN,SWN,,,Southwestern Energy,
SWY,,SWY,SWY,,,Safeway,
TEG,,TEG,TEG,,,Integrys Energy Group,
TGNA,,TGNA,TGNA,,,Tegna,
TIE,,TIE,TIE,,,Titanium Metals,
TIF,,TIF,TIF,,,Tiffany & Co,
TSS,,TSS,TSS,,,TSYS,
TWC,,TWC,TWC,,,Time Warner Cable,
TWTR,,TWTR,TWTR,,,Twitter,
TWX,,TWX,TWX,,,Time Warner,
TYC,,TYC,TYC,,,Tyco International,
VAR,,VAR,VAR,,,Varian Medical Systems,
VIAB,,VIAB,VIAB,,,Viacom,
WBA,,WBA,WBA,,,Walgreens Boots Alliance,
WCG,,WCG,WCG,,,WellCare,
WFM,,WFM,WFM,,,Whole Foods Market,
WIN,,WIN,WIN,,,Windstream Communications,
WPX,,WPX,WPX,,,WPX Energy,
WYN,,WYN,WYN,,,Wyndham Worldwide,
X,,X,X,,,United States Steel,
XEC,,XEC,XEC,,,Cimarex Energy,
XL,,XL,XL,,,XL Group,
XLNX,,XLNX,XLNX,,,Xilinx,
YHOO,,YHOO,YHOO,,,Yahoo!,
